"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Crea un Barrio desde el WebAdmin (types/districts.aspx): ""Crear Barrio"" abre un MODAL
→ Nombre dinámico + Ciudad → Guardar → buscar y validar la fila por el sello.
","5841","test_crear_barrio","webadmin","2026-07-15","passed","2026-07-15","","crear_barrio","",""
"
Crea un Vehículo desde el WebAdmin (vehicletypes/default.aspx) y valida el flujo:
1. Navegación Menú → Servicios → Vehículos.
2. Click en ""Nuevo"" → se despliega el formulario inline.
3. Carga del nombre dinámico, las 4 traducciones (ES/EN/PT/IT), Capacity From/To y Publicado.
4. Guardar.
5. Búsqueda y validación de que el vehículo recién creado aparece en la tabla.
","8838","test_crear_vehiculo","webadmin","2026-07-15","passed","2026-07-15","","crear_vehiculo","",""
"
Valida la pantalla Reservas → Adm. de Reservas (booking/default.aspx):
1. Navegación desde el menú lateral.
2. La grilla `gvBooks` trae TODAS las columnas esperadas.
3. La grilla NO viene vacía (al menos una fila de datos).
4. Los controles de filtro por rango de fechas están presentes.
","2574","test_reservas_admin","webadmin","2026-07-15","failed","2026-07-15","","webadmin_reservas","",""
"
Crea una amenitie desde el WebAdmin y valida el flujo completo:
1. Navegacion Menu -> Hoteles -> Amenities.
2. Click en Nuevo.
3. Carga del nombre (dinamico con fecha/hora) y las 4 traducciones (ES/EN/PT/IT).
4. Guardado.
5. Validacion de que la amenitie recien creada aparece en la tabla.
","5810","test_crear_amenitie","webadmin","2026-07-15","passed","2026-07-15","","crear_amenities","",""
"
Crea una Región (regions/detail.aspx): Nombre dinámico + País (dispara postback que
recarga las Ciudades) + Publicado → Guardar → validar la fila por el sello.
","46410","test_crear_region","webadmin","2026-07-15","broken","2026-07-15","","crear_region","",""
"
Crea un Servicio de incentivo desde el WebAdmin (incentives/servicedetail.aspx) y valida:
1. Navegación Menú → Servicios → Servicios de incentivo → ""+ Agregar Servicio"".
2. Carga del nombre dinámico, Ciudad, Servicio Relacionado, Tipo, Destino, Orden,
   Destacado, Publicado y el Detalle de Incentivos (Nombre ES + Quill ES).
3. Guardar.
4. Validación de que el servicio recién creado aparece en la tabla.
","11623","test_crear_servicio_incentivo","webadmin","2026-07-15","passed","2026-07-15","","crear_servicio_incentivo","",""
"
Crea un Corporativo (Agencias → Corporativo → Nuevo), guarda, valida las solapas
Detalle / Config. de productos, y valida la fila tras volver a la lista.
","0","test_crear_corporativo","webadmin","2026-07-15","skipped","2026-07-15","","crear_corporativo","",""
"
Crea una Ciudad (cities/detail.aspx): Nombre dinámico + País + Orden + Publicado →
Guardar → buscar y validar la fila por el sello.
","46375","test_crear_ciudad","webadmin","2026-07-15","broken","2026-07-15","","crear_ciudad","",""
"
Tipos de Cambio (ChangeRate) no tiene grilla ni un identificador único creable
(rango de fechas + valor) → smoke: la pantalla carga y expone sus controles clave
(botón 'Nuevo' y el 'Guardar' de valores por defecto).
","2167","test_tipos_de_cambio_smoke","webadmin","2026-07-15","passed","2026-07-15","","readonly_grids","",""
"
Crea un Colaborador (collaborators/detail.aspx): Nombre dinámico + Apellido + Puesto +
Área + Email único + Teléfono + Sucursal + Publicado → Guardar → validar la fila por
el sello.
⚠ Best-effort: la lista no tiene buscador y pagina; probable ajuste tras la 1ª corrida.
","54090","test_crear_colaborador","webadmin","2026-07-15","broken","2026-07-15","","crear_colaborador","",""
"
Crea una categoría de hotel desde el WebAdmin y valida el flujo completo:
1. Navegación Menú -> Hoteles -> Categorías.
2. Click en Nuevo.
3. Carga del nombre (dinámico con fecha/hora), el orden y las 4 traducciones (ES/EN/PT/IT).
4. Guardado.
5. Validación de que la categoría recién creada aparece en la tabla.
","6008","test_crear_categoria","webadmin","2026-07-15","passed","2026-07-15","","crear_categoria","",""
